Number_of_deaths,Incident_Date,Flight_name,Aircraft_type,Accident_details
349,"November 12, 1996",Saudia Flight 763 /,Boeing 747 / Russian Ilyushin Il-76,"Saudia Flight 763 and Kazakhstan Airlines Flight 1907 collided mid-air over the town of Charkhi Dadri, near Delhi, India. The collision was mainly the result of the Kazakh pilot flying lower than the assigned clearance altitude. All 349 occupants on board the two aircraft died.[14] It remains the world's deadliest mid-air collision without survivors.[15] The Ramesh Chandra Lahoti Commission, empowered to study the causes, recommended the creation of the ""semi-circular rule"", to prevent aircraft from flying in opposite directions at the same altitude.[16] The Civil Aviation Authorities in India made it mandatory for all aircraft flying in and out of India to be equipped with a Traffic Collision Avoidance System (TCAS), setting a worldwide precedent for mandatory use of TCAS."
,,Kazakhstan Airlines Flight 1907,,
230,"July 17, 1996",TWA Flight 800,Boeing 747-131,"TWA Flight 800 carrying 230 occupants, exploded and crashed into the Atlantic Ocean near East Moriches, New York, shortly after departing from John F. Kennedy International Airport on a flight to Paris and Rome. A lengthy investigation concluded that the probable cause of the accident was a short circuit in a fuel tank that contained an explosive mixture of fuel vapor and air. As a result, new requirements were developed to prevent future fuel tank explosions in aircraft."
227,"January 8, 1996",1996 Air Africa Antonov An-32 crash,Antonov An-32B,"An Antonov An-32B aircraft with six crew members on board overshot the runway at N'Dolo Airport, Kinshasa, Democratic Republic of Congo, and crashed into a market place. Four on board survived but 225 people on the ground were killed and an estimated 500 were injured (estimated 253 seriously injured). It is the crash with the most non-passenger ground fatalities (not including 9/11). It is usually known as the 1996 Air Africa crash."
264,"April 26, 1994",China Airlines Flight 140,Airbus A300B4-622R,"China Airlines Flight 140 was completing a routine flight and approach at Nagoya Airport, Japan, when the Airbus A300B4-622R's First Officer inadvertently pressed the takeoff/go-around button, which raises the throttle position to the same as that for take offs and go-arounds. The action and the two pilots' reaction resulted in a crash that killed 264 (15 crew and 249 passengers) of the 271 people aboard.[39]"
261,"July 11, 1991",Nigeria Airways Flight 2120,Douglas DC-8-61,"Nigeria Airways Flight 2120 operated by Nationair Canada, crashed in Jeddah, Saudi Arabia, after two tires ignited upon takeoff, leading to an in-flight fire. All 261 occupants were killed. It is the deadliest aviation accident involving a DC-8, the largest aviation disaster involving a Canadian-registered aircraft and the second-worst accident in Saudi Arabia (after Saudi Arabian Airlines Flight 163 – see above).[40]"
223,"May 26, 1991",Lauda Air Flight 004,Boeing 767-3Z9ER,"Lauda Air Flight 004 broke up in midair over a remote area of Thailand due to an uncommanded deployment of a thrust reverser on one of the plane's engines, killing all 223 occupants aboard. The flight, which originated at Kai Tak Airport, Hong Kong, and made a stopover at Don Mueang International Airport in Bangkok, Thailand, was en route to Vienna International Airport, Vienna, Austria, when the accident occurred."
270,"December 21, 1988",Pan Am Flight 103,Boeing 747-121,"Pan Am Flight 103 bound for New York–JFK from London–Heathrow with continued service to Detroit, was destroyed by a terrorist bomb over the town of Lockerbie, Scotland. All 259 occupants and 11 people on the ground (all residents of Sherwood Crescent, Lockerbie), died,[32][33] making it the worst terrorist attack involving an aircraft in the UK and the deadliest terrorist attack on British soil. Following the crash, the Federal Aviation Administration imposed new security measures on American airlines flying out of 103 airports in Western Europe and the Middle East.[34]"
290,"July 3, 1988",Iran Air Flight 655,Airbus A300-200,"Iran Air Flight 655, an Iranian civilian airliner, was shot down by two surface-to-air missiles from the U.S. Navy guided missile cruiser USS Vincennes over the Strait of Hormuz. All 290 passengers and crew aboard the aircraft died. The downing was caused by a series of mistakes that led the USS Vincennes crew to believe that the airliner was an Iranian Air Force F-14."
256,"December 12, 1985",Arrow Air Flight 1285R,Douglas DC-8-63CF,"Arrow Air Flight 1285R carrying American military personnel on a charter flight home for Christmas, crashed in Newfoundland; all 256 occupants on board died.[45] The Canadian Aviation Safety Board investigating the cause of the crash issued two different reports: the majority report cited ice on the wings as cause of the crash; the minority report suggests an explosion was the likely cause. This was the deadliest aviation incident in Canadian history."
200,"July 10, 1985",Aeroflot Flight 7425,Tupolev Tu-154B-2,"Aeroflot Flight 7425 on a domestic Karshi–Ufa–Leningrad route, crashed near Uchkuduk, Uzbek SSR, Soviet Union, on the first leg of its route. All 200 occupants onboard were killed. An investigation concluded that the plane went down due to pilot error. The air crew used an inappropriately low airspeed, causing vibrations that they incorrectly interpreted as engine surges. As a result, they further reduced engine power, causing the aircraft to stall and crash."
329,"June 23, 1985",Air India Flight 182,Boeing 747-237,"Air India Flight 182 en route from Toronto and Montreal to London and Delhi, crashed off the southwest coast of Ireland when a bomb exploded in the cargo hold. All 307 passengers and 22 crew members died.[18] One passenger had checked in as ""M. Singh"". Singh did not board the flight but his suitcase, containing the bomb, was loaded onto the aircraft. ""M. Singh"" was never identified or captured. It was later determined Sikh extremists were behind the bombing as a retaliation for the Indian government's attack on the Golden Temple in the city of Amritsar, spiritually the most significant shrine in Sikhism. This was, at the time, the deadliest terrorist attack involving an airplane.[19]"
269,"September 1, 1983",Korean Air Lines Flight 007,Boeing 747-230,"A Soviet interceptor Sukhoi Su-15 shot down Korean Air Lines Flight 007 bound for Gimpo International Airport in Seoul, South Korea, after it flew into Soviet airspace; all 269 occupants on board died.[35]"
301,"August 19, 1980",Saudi Arabian Airlines Flight 163,Lockheed L-1011,"Saudi Arabian Airlines Flight 163 became the world's deadliest aviation accident that did not involve a crash. The crew performed an emergency landing at Riyadh after a fire broke out in an aft baggage compartment. The fire burned through the ceiling of the compartment and into the passenger cabin. The crew landed the aircraft safely, but the captain did not stop immediately and order an evacuation. He taxied off the runway instead, by which time everyone in the cabin had become unconscious due to fumes and were unable to open any doors or evacuate. All 301 passengers and crew aboard died of suffocation before rescue ground crews could open any door, after which the aircraft burst into flames and was consumed by fire.[20]"
257,"November 28, 1979",Air New Zealand Flight 901,McDonnell Douglas DC-10-30,"Air New Zealand Flight 901 an Antarctic sightseeing flight, collided with Mount Erebus on Ross Island, Antarctica, killing all 257 occupants on board.[42][43] The flight crew had not been informed that the computer coordinates for the flight path of the McDonnell Douglas DC-10-30 had been changed the night before, directing the flight towards Mount Erebus rather than the usual path down McMurdo Sound.[44]"
273,"May 25, 1979",American Airlines Flight 191,McDonnell Douglas DC-10-10,"American Airlines Flight 191 crashed shortly after lifting off the runway at Chicago O'Hare Airport after the number one (left) engine and pylon separated from the wing. This broke hydraulic lines, causing leading edge lift devices to retract on that side of the aircraft and resulted in asymmetrical lift and loss of control. The accident was attributed to improper maintenance procedures. The crash resulted in the deaths of all 271 passengers and crew on board, as well as two people on the ground. It remains the deadliest commercial aircraft accident in United States history,[30][31] and was also the country's deadliest aviation disaster until the September 11 attacks in 2001."
213,"January 1, 1978",Air India Flight 855,Boeing 747-237B,"Air India Flight 855 crashed into the Arabian Sea just off the coast of Bombay, India, killing all 213 occupants on board. An investigation concluded that the captain became disoriented after the failure of one of the flight instruments in the cockpit, leading to ""irrational control inputs"" that caused the plane to crash."
346,"March 3, 1974",Turkish Airlines Flight 981,McDonnell Douglas DC-10,"Turkish Airlines Flight 981 crashed in a forest northeast of Paris, France. The London-bound aircraft crashed shortly after taking off from Orly airport; all 346 people aboard died.[17] It was later determined that the cargo door detached, which caused an explosive decompression; this caused the floor just above to collapse. The collapsed floor severed the control cables, which left the pilots without control of the elevators, the rudder and No. 2 engine. The aircraft entered a steep dive and crashed. It was the deadliest plane crash of all time until the Tenerife disaster in 1977. However, it is currently the deadliest single-aircraft crash with no survivors. This accident was also the deadliest single-aircraft crash that did not involve a Boeing 747."
